"Household energy consumption, Canada and provinces 1"
"Frequency: Every 2 years"
"Table: 25-10-0060-01 (formerly CANSIM 153-0161)"
"Release date: 2024-03-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Energy type","Energy consumption","2019","2021"
"Canada","Total, all energy types","Gigajoules","1,353,727,238","1,275,937,165"
,,"Gigajoules per household","90.5","85.4"
,,"Proportion of total energy","..",".."
,,"Number of households 2","14,954,936","14,936,620"
,"Electricity","Gigajoules","593,817,177","583,999,217"
,,"Gigajoules per household","39.7","39.1"
,,"Proportion of total energy","43.9","45.8"
,,"Number of households 2","14,954,936","14,936,620"
,"Natural gas","Gigajoules","723,344,231","656,986,991"
,,"Gigajoules per household","91.6","84.9"
,,"Proportion of total energy","53.4","51.5"
,,"Number of households 2","7,894,803","7,742,110"
,"Heating oil","Gigajoules","36,565,831","34,950,957"
,,"Gigajoules per household","49.7","60.1"
,,"Proportion of total energy","2.7","2.7"
,,"Number of households 2","735,600","581,423"
"Newfoundland and Labrador","Total, all energy types","Gigajoules","15,615,351","15,380,131"
,,"Gigajoules per household","71.6","68.9"
,,"Proportion of total energy","..",".."
,,"Number of households 2","218,065","223,250"
,"Electricity","Gigajoules","13,181,468","12,195,130"
,,"Gigajoules per household","60.4","54.6"
,,"Proportion of total energy","84.4","79.3"
,,"Number of households 2","218,065","223,250"
,"Natural gas","Gigajoules","F","F"
,,"Gigajoules per household","F","F"
,,"Proportion of total energy","F","F"
,,"Number of households 2","F","F"
,"Heating oil","Gigajoules","2,433,884E","3,185,001"
,,"Gigajoules per household","50.5","64.7"
,,"Proportion of total energy","15.6E","20.7"
,,"Number of households 2","48,194","49,193"
"Prince Edward Island","Total, all energy types","Gigajoules","4,763,309","4,522,478"
,,"Gigajoules per household","75.0","70.0"
,,"Proportion of total energy","..",".."
,,"Number of households 2","63,486","64,565"
,"Electricity","Gigajoules","2,107,616","2,245,524"
,,"Gigajoules per household","33.2","34.8"
,,"Proportion of total energy","44.2","49.7"
,,"Number of households 2","63,486","64,565"
,"Natural gas","Gigajoules","F","F"
,,"Gigajoules per household","F","F"
,,"Proportion of total energy","F","F"
,,"Number of households 2","F","F"
,"Heating oil","Gigajoules","2,655,694","2,276,954"
,,"Gigajoules per household","62.6","57.9"
,,"Proportion of total energy","55.8","50.3"
,,"Number of households 2","42,425","39,296"
"Nova Scotia","Total, all energy types","Gigajoules","27,590,458","29,254,078"
,,"Gigajoules per household","66.4","68.3"
,,"Proportion of total energy","..",".."
,,"Number of households 2","415,552","428,225"
,"Electricity","Gigajoules","15,766,878","16,384,387"
,,"Gigajoules per household","37.9","38.3"
,,"Proportion of total energy","57.1","56.0"
,,"Number of households 2","415,552","428,225"
,"Natural gas","Gigajoules","F","F"
,,"Gigajoules per household","F","F"
,,"Proportion of total energy","F","F"
,,"Number of households 2","F","F"
,"Heating oil","Gigajoules","10,389,296","11,193,508"
,,"Gigajoules per household","50.7","61.4"
,,"Proportion of total energy","37.7","38.3"
,,"Number of households 2","205,004","182,415"
"New Brunswick","Total, all energy types","Gigajoules","20,696,383","22,435,871"
,,"Gigajoules per household","63.5","66.4"
,,"Proportion of total energy","..",".."
,,"Number of households 2","326,168","337,650"
,"Electricity","Gigajoules","18,278,005","19,643,745"
,,"Gigajoules per household","56.0","58.2"
,,"Proportion of total energy","88.3","87.6"
,,"Number of households 2","326,168","337,650"
,"Natural gas","Gigajoules","F","F"
,,"Gigajoules per household","F","55.4E"
,,"Proportion of total energy","F","F"
